,null_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.09783232748485308,0.26949223043378023,0.40239789103446366,0.5216795043270066,0.13428011812939092,R
1,0.4353442938821578,0.9141786266159937,0.7558277253013412,0.8240019290632612,0.5730453997855289,M
2,0.6082154378333264,0.6519109745197493,0.9554881507832873,0.7661009383417885,0.9362761101507937,M
3,0.19839449141390966,0.2431809998993293,0.2546584821472548,0.5210200206952714,0.37766660634929244,R
4,0.7923404610964819,0.8774903986793731,0.8397003625824019,0.5058740241712015,0.5885580334821796,M
5,0.10333271294963461,0.44364036450434413,0.293715938535517,0.05654391280438829,0.48670892255587533,R
6,0.09807011614451981,0.07611752280856428,0.46910655637965165,0.03876392313087841,0.15820987775729098,R
7,0.1992651066487344,0.5003739756973725,0.35983344272443746,0.47924244702329055,0.04530276154723846,R
8,0.4233215310954284,0.2279174421808947,0.41212491048524175,0.2974838786898642,0.2749321199912397,R
9,0.5026403327443325,0.8940979200003616,0.6097474286242994,0.9922524041538368,0.5699063381697832,M
10,0.28105357991193525,0.20242577364072456,0.5420440998531795,0.1897239970729714,0.4117615920449948,R
11,0.8530738325292779,0.7051090136033065,0.5398190694996958,0.5675965408024799,0.8150331487998319,M
12,0.9789948408066953,0.7099604138919419,0.6567133696671301,0.4402924623523282,0.5662070170286062,M
13,0.2343309847671669,0.21410531905976854,0.027136402794216783,0.10152146330401558,0.05660596414153135,R
14,0.3397510926604876,0.41418805404269093,0.4115682914308354,0.3842419508883001,0.21446542450242587,R
15,0.4135587418250891,0.9239291008562993,0.9038136868657708,0.5169129710242844,0.8456171455610424,M
16,0.01386678884868982,0.5465001724290554,0.22570014611065956,0.20165868510318116,0.04763151885555013,R
17,0.06776897824680317,0.1139274317589744,0.33800346011530863,0.3422950795638895,0.12200900495459734,R
18,0.43684619254853885,0.9467230925017089,0.5491339221687288,0.4954964545819863,0.9853401958808448,M
19,0.7847175358766558,0.9852956780249058,0.7262280155697642,0.8462684406053063,0.659387418474385,M
20,0.7921883732988375,0.7129766297059068,0.8188616528064312,0.4150123461444663,0.4991042531526231,M
21,0.3492366427655394,0.34468517515251934,0.2867858940782108,0.17504246388698297,0.24022427421998774,R
22,0.29577945230472474,0.2863872152781064,0.1635946972915821,0.5659676288393752,0.013851172015700876,R
23,0.5640482667591621,0.08010716580003642,0.0337521627766137,0.572058698981524,0.4793200292699934,R
24,0.921934101801207,0.7103890856811017,0.7852239291773738,0.8585284176372997,0.4579609915732771,M
25,0.5090733615277914,0.37929944045411607,0.15875172804970786,0.05615397329016134,0.319451473568608,R
26,0.8550119984963168,0.4862215596652729,0.7186018217250081,0.9766630549833812,0.891822716111385,M
27,0.0350952039759433,0.4170138499719842,0.5236136148483289,0.3851218887535452,0.1893508111752096,R
28,0.4512582038971772,0.3287876361205703,0.4138138492108294,0.0470625047899769,0.4241592414107037,R
29,0.1562623178123983,0.27261918664831525,0.5548504507220214,0.5738650748528769,0.5327622870064161,R
30,0.2835541703601578,0.014587243310207209,0.06386283057942005,0.5390200931005064,0.27668004725142625,R
31,0.9888565360646697,0.8061069577482223,0.6991559865775316,0.46562394417728925,0.9882117296289921,M
32,0.5037709508480097,0.909609615163865,0.9454257865051636,0.885826295172555,0.6889985230451683,M
