,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.548248379628794,0.06749330319605548,0.18343160862649943,0.1938089113512903,0.01634446735085983,R
1,0.6922129197816709,0.4881876166749307,0.5638705134033644,0.6908813181115431,0.8160462560976081,M
2,0.5043236654696764,0.932864798868043,0.5096047503180128,0.794242838827675,0.9667175731309567,M
3,0.9454681767468136,0.6823148109416521,0.7962720219199946,0.6471052881895719,0.881209430349165,M
4,0.9840082640407999,0.5735603199141837,0.8469923959579102,0.48342077674525397,0.5331017231333699,M
5,0.6185575962761705,0.5352832459108182,0.4399604163043379,0.9461574389645955,0.633368604400515,M
6,0.4384018754433202,0.057745885608626264,0.5638339839500007,0.5569239127004297,0.3424542087382319,R
7,0.20028739175426893,0.0877727356465889,0.03869440233673178,0.18147664477686032,0.17797192995034028,R
8,0.4406550301972866,0.5003631678323046,0.5248486560181134,0.557362341177937,0.6027594591779564,M
9,0.044754748830688945,0.3445938668486279,0.1494489579981701,0.322654824227445,0.43241048245157415,R
10,0.44673579160766225,0.270347183356712,0.2300979498411093,0.1314671737698262,0.3420046675236641,R
11,0.7657155696963728,0.8095922511029018,0.9046705750394379,0.9102819395325239,0.44914984893649984,M
12,0.09809839880503188,0.05007583808866432,0.37325518917293804,0.4709580980964644,0.18379374191497372,R
13,0.8419792480253372,0.6010488340688345,0.9547780421965069,0.49012188870884343,0.7258896089982749,M
14,0.6717298918977819,0.915476187399106,0.9932608733783068,0.9741992006166846,0.9895955557231209,M
15,0.6328436269558173,0.43413591025805753,0.767598831125163,0.8772405741595957,0.608464750169409,M
16,0.8203406750281328,0.5946823844178388,0.4595754620960163,0.425159750556133,0.8734835129774992,M
17,0.40930593206017957,0.4129219842579425,0.558962297485868,0.5105224603858376,0.05968814364571133,R
18,0.8798782280777885,0.8643140119407864,0.5226772535045108,0.9174055588688788,0.9195531949136335,M
19,0.49292862916850944,0.9713848446183797,0.7485735600415042,0.9457622309525133,0.7628508989870328,M
20,0.5120876358596363,0.6107030132871767,0.45376892581436473,0.970101998490674,0.8995718167841762,M
21,0.6530979479814255,0.4916990852769589,0.6351450363071613,0.8074794583219265,0.4232108147278821,M
22,0.18232264340341817,0.35076842587616996,0.49272672930536354,0.01938218961306908,0.12079741931833089,R
23,0.4120467055406332,0.43894726736690426,0.41214876336884365,0.33951211174228907,0.1533433363634528,R
24,0.5645555072369053,0.4415683553264439,0.06707052217447712,0.14776576811974768,0.4669879289408564,R
25,0.4017698998647742,0.25819378393975756,0.44729248274945715,0.4353045334634081,0.4746934329197137,R
26,0.02247546946718335,0.3309488166054454,0.16384015707238592,0.2507870900303606,0.5042465482779235,R
27,0.9607434960936092,0.5069406631166846,0.5647061206635184,0.5815335695086605,0.8003624604145678,M
28,0.012081092191013007,0.42301631046447974,0.1274376647382293,0.25570788209958545,0.24046441480044162,R
29,0.602416978792592,0.9624114248794675,0.5021423979517196,0.8190114858391602,0.7244630328766678,M
30,0.4487269133284142,0.994925327611365,0.6215689453632334,0.6234470613568883,0.9555875838979837,M
31,0.14830431111807127,0.3605666012933137,0.3603977334313124,0.2759276073997173,0.41132674635546884,R
32,0.5275303537649706,0.275868279553961,0.15836583350299357,0.3959652858571772,0.25173703811615034,R
33,0.6821549610741796,0.6084735327627312,0.9086995947991636,0.545375463202186,0.6299673453272725,M
34,0.20259856769155693,0.022625646188647656,0.293298241572643,0.18837806909557223,0.03494554365197954,R
35,0.6689714261686415,0.6317812470792065,0.9286842788483878,0.6390405250867609,0.6214694257969184,M
36,0.3250805478811361,0.4547466775742246,0.258091007341697,0.2171691923272469,0.04491712335239958,R
37,0.5218140914423759,0.7335565753211638,0.7925536297948655,0.5914062648199281,0.647578570665571,M
38,0.05072383371832147,0.22350801195017128,0.1640359297560317,0.3247649052766769,0.2157425569287583,R
39,0.3110401661687967,0.019246794135122983,0.28987650326853504,0.1251647785394509,0.4432486854121257,R
40,0.30106582435913704,0.2732313589478714,0.3549972975520029,0.07331041374256439,0.4090032412793364,R
41,0.5477609906003476,0.5659912642785698,0.5016698588960579,0.520669599869409,0.5133882873159658,M
42,0.4855969247930169,0.3107569321056707,0.3814359430634195,0.11944155723298813,0.30262420050927874,R
43,0.2962815544553106,0.4796810970755982,0.5374814271465362,0.07459426861736973,0.5099746191819612,R
44,0.6457884856442287,0.5801790287720068,0.6804590956172507,0.9379520614002861,0.4913198415298377,M
45,0.06316341868605306,0.4749868528429258,0.531511142745906,0.02289528811381571,0.10342628030494272,R
46,0.05799417200309987,0.3959824127336227,0.24712199706442642,0.09537482289689972,0.13828678972914607,R
47,0.44286042521154784,0.503876515295476,0.9339370311305892,0.4397026299363179,0.9746362249178457,M
48,0.798530716406654,0.9834360446888943,0.9262751516621059,0.5921483656286877,0.9871025388684331,M
49,0.5832899566204683,0.9014019559474964,0.9902882677935647,0.6830212584888604,0.6962207573557342,M
50,0.5840089517479786,0.41558768568194654,0.9357573887230952,0.46092572586453734,0.9920968857266124,M
51,0.036417953616663674,0.36102452730994194,0.35849111585454224,0.24517236766021083,0.3219896529604024,R
52,0.048038190602417735,0.4939421791331048,0.2134719078894254,0.17171680207359408,0.3846135761132246,R
53,0.15097163392652282,0.23334004670937974,0.39601402277137926,0.1417214608266599,0.29819115860612183,R
54,0.528771514782379,0.47512078876555447,0.44657666750537506,0.2700385312302029,0.07096725873200392,R
55,0.8371054375654261,0.7104157220307022,0.9561417166361115,0.4170011786490571,0.7320171034411929,M
56,0.9450631525539914,0.5161630811320487,0.7570666266930985,0.9413031277723156,0.6232374710761688,M
